x_val,y_val,seed,mean_lpay
0.0000,0.4500,42,86.2453
0.0000,0.4500,123,86.2588
0.0000,0.4500,777,86.2501
0.0000,0.4500,999,86.2569
0.0000,0.4500,2024,86.2392
0.0000,0.4500,314,86.2358
0.0000,0.4500,1066,86.2644
0.0000,0.4500,53,86.2477
0.0000,0.4500,160,86.2509
0.0000,0.4500,1031,86.2613
0.3571,0.4000,42,14.2179
0.3571,0.4000,123,15.5725
0.3571,0.4000,777,12.0621
0.3571,0.4000,999,15.2300
0.3571,0.4000,2024,14.7635
0.3571,0.4000,314,14.4377
0.3571,0.4000,1066,15.8876
0.3571,0.4000,53,11.7447
0.3571,0.4000,160,13.7471
0.3571,0.4000,1031,15.0109
0.4286,0.4000,42,3.2745
0.4286,0.4000,123,3.3028
0.4286,0.4000,777,4.7168
0.4286,0.4000,999,0.9619
0.4286,0.4000,2024,-20.3235
0.4286,0.4000,314,2.6955
0.4286,0.4000,1066,3.0183
0.4286,0.4000,53,-0.8970
0.4286,0.4000,160,1.2489
0.4286,0.4000,1031,3.8944
0.5000,0.4000,42,-12.7429
0.5000,0.4000,123,-15.0113
0.5000,0.4000,777,-6.8567
0.5000,0.4000,999,-7.2696
0.5000,0.4000,2024,-6.7324
0.5000,0.4000,314,-4.2752
0.5000,0.4000,1066,-8.1870
0.5000,0.4000,53,-5.9487
0.5000,0.4000,160,-9.2636
0.5000,0.4000,1031,-8.3080
0.0714,0.4500,42,70.9196
0.0714,0.4500,123,69.1305
0.0714,0.4500,777,70.6436
0.0714,0.4500,999,68.7647
0.0714,0.4500,2024,69.4018
0.0714,0.4500,314,70.9747
0.0714,0.4500,1066,69.7351
0.0714,0.4500,53,70.0997
0.0714,0.4500,160,70.8812
0.0714,0.4500,1031,70.5680
0.1429,0.4500,42,54.1715
0.1429,0.4500,123,54.7627
0.1429,0.4500,777,56.2620
0.1429,0.4500,999,54.1049
0.1429,0.4500,2024,54.2268
0.1429,0.4500,314,55.1815
0.1429,0.4500,1066,54.6575
0.1429,0.4500,53,54.2198
0.1429,0.4500,160,55.9929
0.1429,0.4500,1031,55.5520
0.2143,0.4500,42,39.4874
0.2143,0.4500,123,40.9026
0.2143,0.4500,777,42.1280
0.2143,0.4500,999,42.0740
0.2143,0.4500,2024,41.6187
0.2143,0.4500,314,42.7763
0.2143,0.4500,1066,42.3306
0.2143,0.4500,53,41.3972
0.2143,0.4500,160,38.8503
0.2143,0.4500,1031,40.2110
0.2857,0.4500,42,28.7464
0.2857,0.4500,123,27.9167
0.2857,0.4500,777,28.4515
0.2857,0.4500,999,28.5915
0.2857,0.4500,2024,25.6815
0.2857,0.4500,314,28.1941
0.2857,0.4500,1066,28.8685
0.2857,0.4500,53,25.7962
0.2857,0.4500,160,27.0267
0.2857,0.4500,1031,29.2527
0.3571,0.4500,42,15.2574
0.3571,0.4500,123,17.8167
0.3571,0.4500,777,12.0730
0.3571,0.4500,999,17.2013
0.3571,0.4500,2024,13.9543
0.3571,0.4500,314,17.1678
0.3571,0.4500,1066,15.8964
0.3571,0.4500,53,17.5835
0.3571,0.4500,160,14.1528
0.3571,0.4500,1031,14.4379
0.4286,0.4500,42,4.3287
0.4286,0.4500,123,7.1702
0.4286,0.4500,777,4.7223
0.4286,0.4500,999,6.2746
0.4286,0.4500,2024,4.5827
0.4286,0.4500,314,0.4858
0.4286,0.4500,1066,-16.0516
