tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.3,0.3571,42,Transition,6.681,26.632,0.1873,0.0847,0.2719,Transition,7.298,27.434,0.187,0.088,0.617,0.802,0
0.3,0.3571,123,Transition,5.338,27.944,0.1938,0.089,0.2768,Transition,3.617,27.488,0.1986,0.0864,-1.721,-0.456,0
0.3,0.3571,777,Transition,6.641,28.061,0.1885,0.0919,0.2724,Transition,6.526,27.606,0.1861,0.091,-0.115,-0.455,0
0.3,0.3571,999,Transition,6.995,25.484,0.1857,0.0794,0.2704,Transition,6.947,26.238,0.1888,0.0812,-0.048,0.753,0
0.3,0.3571,2024,Transition,5.157,27.771,0.1954,0.0869,0.2802,Transition,7.702,27.374,0.1883,0.0857,2.545,-0.397,0
0.3,0.4286,42,Transition,-5.744,28.006,0.2297,0.0845,0.2644,Transition,-1.148,28.098,0.2175,0.0856,4.596,0.092,0
0.3,0.4286,123,Transition,-6.723,26.984,0.2315,0.0802,0.2597,Transition,-3.05,27.616,0.221,0.0845,3.673,0.631,0
0.3,0.4286,777,Transition,-4.126,29.243,0.229,0.0878,0.2779,Transition,-4.0,29.207,0.2287,0.0875,0.126,-0.036,0
0.3,0.4286,999,Transition,-5.359,29.564,0.2302,0.0911,0.2698,Transition,-2.209,29.317,0.2226,0.0897,3.149,-0.247,0
0.3,0.4286,2024,Transition,-3.732,28.695,0.2256,0.0873,0.2715,Transition,-5.287,28.881,0.2306,0.0872,-1.555,0.187,0
0.3,0.5,42,Escalation,-20.377,29.33,0.2809,0.0849,0.2525,Escalation,-15.002,29.695,0.2682,0.0852,5.375,0.365,0
0.3,0.5,123,Escalation,-17.998,32.154,0.2787,0.0948,0.2701,Escalation,-17.288,31.015,0.2772,0.0891,0.71,-1.139,0
0.3,0.5,777,Transition,-12.587,29.539,0.2604,0.0855,0.2687,Transition,-11.558,28.962,0.257,0.0833,1.028,-0.578,0
0.3,0.5,999,Escalation,-15.815,30.003,0.2666,0.0883,0.2608,Escalation,-15.227,30.487,0.2692,0.0887,0.588,0.484,0
0.3,0.5,2024,Escalation,-18.236,31.741,0.2758,0.0966,0.2591,Escalation,-18.43,31.823,0.2797,0.0944,-0.194,0.082,0
0.35,0.0,42,Deterrence,81.027,32.897,0.0,0.1689,0.3462,Deterrence,81.182,27.25,0.0,0.1393,0.155,-5.647,0
0.35,0.0,123,Deterrence,80.999,30.364,0.0,0.1558,0.3459,Deterrence,81.182,34.918,0.0,0.1794,0.183,4.554,0
0.35,0.0,777,Deterrence,80.983,26.011,0.0,0.1331,0.3457,Deterrence,81.182,28.343,0.0,0.1449,0.199,2.332,0
0.35,0.0,999,Deterrence,81.021,31.439,0.0,0.1614,0.3461,Deterrence,81.182,31.482,0.0,0.1614,0.161,0.043,0
0.35,0.0,2024,Deterrence,81.03,32.522,0.0,0.167,0.3462,Deterrence,81.182,34.174,0.0,0.1755,0.152,1.652,0
0.35,0.0714,42,Deterrence,63.956,22.497,0.0392,0.0988,0.3412,Deterrence,65.792,19.924,0.036,0.0863,1.837,-2.573,0
0.35,0.0714,123,Deterrence,65.185,20.236,0.0369,0.0878,0.3448,Deterrence,65.733,19.954,0.0362,0.0864,0.548,-0.282,0
0.35,0.0714,777,Deterrence,63.762,21.384,0.0397,0.0928,0.3413,Deterrence,64.0,22.544,0.0393,0.0989,0.238,1.16,0
0.35,0.0714,999,Deterrence,64.945,19.958,0.0373,0.0862,0.344,Deterrence,65.769,19.957,0.0361,0.0865,0.824,-0.0,0
0.35,0.0714,2024,Deterrence,64.917,20.113,0.0371,0.0872,0.3423,Deterrence,64.079,20.386,0.0387,0.0881,-0.838,0.273,0
0.35,0.1429,42,Deterrence,49.6,23.256,0.0755,0.0896,0.3357,Deterrence,48.513,23.151,0.0779,0.0882,-1.088,-0.105,0
0.35,0.1429,123,Deterrence,48.352,23.941,0.0771,0.0933,0.3275,Deterrence,47.488,24.186,0.079,0.0939,-0.864,0.245,0
0.35,0.1429,777,Deterrence,48.692,24.401,0.0782,0.0944,0.337,Deterrence,49.202,24.209,0.0769,0.0937,0.51,-0.192,0
0.35,0.1429,999,Deterrence,49.798,22.471,0.0752,0.0854,0.3373,Deterrence,50.005,22.266,0.0748,0.0844,0.207,-0.205,0
