x_val,y_val,seed,mean_lpay
0.0000,0.2000,314,61.1656
0.0000,0.2000,1066,61.1650
0.0000,0.2000,53,61.1598
0.0000,0.2000,160,61.1538
0.0000,0.2000,1031,61.1649
0.2857,0.1500,42,-11.6827
0.2857,0.1500,123,-15.1311
0.2857,0.1500,777,-33.9339
0.2857,0.1500,999,-22.1750
0.2857,0.1500,2024,-1.7961
0.2857,0.1500,314,-36.5680
0.2857,0.1500,1066,-4.0708
0.2857,0.1500,53,-28.3911
0.2857,0.1500,160,-20.0804
0.2857,0.1500,1031,-22.5270
0.3571,0.1500,42,-31.2178
0.3571,0.1500,123,-26.1668
0.3571,0.1500,777,-40.0902
0.3571,0.1500,999,-17.8526
0.3571,0.1500,2024,-17.5521
0.3571,0.1500,314,-30.3190
0.3571,0.1500,1066,-25.1679
0.3571,0.1500,53,-17.0027
0.3571,0.1500,160,-35.6076
0.3571,0.1500,1031,-26.3276
0.4286,0.1500,42,-49.1023
0.4286,0.1500,123,-48.9778
0.4286,0.1500,777,-38.6338
0.4286,0.1500,999,-5.0334
0.4286,0.1500,2024,-45.0080
0.4286,0.1500,314,-52.3576
0.4286,0.1500,1066,-31.6764
0.4286,0.1500,53,-28.8953
0.4286,0.1500,160,-28.2723
0.4286,0.1500,1031,-33.0397
0.5000,0.1500,42,-49.5572
0.5000,0.1500,123,-52.2850
0.5000,0.1500,777,-54.8347
0.5000,0.1500,999,-48.0043
0.5000,0.1500,2024,-49.9528
0.5000,0.1500,314,-57.8516
0.5000,0.1500,1066,-62.9156
0.5000,0.1500,53,-60.5590
0.5000,0.1500,160,-49.3462
0.5000,0.1500,1031,-54.0723
0.0714,0.2000,42,49.5382
0.0714,0.2000,123,36.5795
0.0714,0.2000,777,39.2284
0.0714,0.2000,999,40.0628
0.0714,0.2000,2024,38.3312
0.0714,0.2000,314,40.6294
0.0714,0.2000,1066,33.3808
0.0714,0.2000,53,38.9600
0.0714,0.2000,160,40.6916
0.0714,0.2000,1031,44.5046
0.1429,0.2000,42,24.0315
